Date,BTC Open,BTC Close,ETH Open,ETH Close,LTC Open,LTC Close,XRP Open,XRP Close,USDT Open,USDT Close
5/22/2018,8360.25,8073,695,652.54,134.12,129.12,0.6746,0.6478,0.9999,0.9998
5/21/2018,8470,8360.25,710.06,695,138.32,134.12,0.691,0.6746,0.9987,0.9999
5/20/2018,8199,8470,691.46,710.06,133.69,138.32,0.6718,0.691,0.9987,0.9987
5/19/2018,8197.77,8199,688.99,691.46,134.56,133.69,0.6707,0.6718,0.9987,0.9987
5/18/2018,8125.73,8197.77,672.03,688.99,133.1,134.56,0.6646,0.6707,0.9983,0.9987
5/17/2018,8308.84,8125.73,702.2,672.03,138.73,133.1,0.7049,0.6646,0.9999,0.9983
5/16/2018,8431.17,8308.84,704.06,702.2,139.25,138.73,0.6937,0.7049,0.9983,0.9999
5/15/2018,8581.6,8431.17,718.9,704.06,146.12,139.25,0.7241,0.6937,0.9989,0.9983
5/14/2018,8762.3,8581.6,736.5,718.9,146.4,146.12,0.7381,0.7241,0.9998,0.9989
5/13/2018,8608,8762.3,691.08,736.5,143.1,146.4,0.6932,0.7381,0.9996,0.9998
5/12/2018,8581.81,8608,689.57,691.08,139.17,143.1,0.69,0.6932,0.9998,0.9996
5/11/2018,9073.25,8581.81,729.43,689.57,149.16,139.17,0.757,0.69,0.9988,0.9998
5/10/2018,9293.43,9073.25,744.83,729.43,156.02,149.16,0.795,0.757,0.9983,0.9988
5/9/2018,9220,9293.43,748.63,744.83,160.17,156.02,0.8126,0.795,1.0002,0.9983
5/8/2018,9412,9220,757.94,748.63,165.62,160.17,0.8317,0.8126,0.9998,1.0002
5/7/2018,9560,9412,786,757.94,170.85,165.62,0.86,0.8317,0.9979,0.9998
5/6/2018,9579.1,9560,795.02,786,173.36,170.85,0.8807,0.86,1.0007,0.9979
5/5/2018,9482.2,9579.1,767.93,795.02,165.9,173.36,0.8738,0.8807,1.0011,1.0007
5/4/2018,9494.55,9482.2,758.31,767.93,157.79,165.9,0.859,0.8738,1,1.0011
5/3/2018,9164,9494.55,680.36,758.31,150.48,157.79,0.8491,0.859,0.9999,1
5/2/2018,9048,9164,667.74,680.36,147.8,150.48,0.8307,0.8491,1,0.9999
5/1/2018,9291.05,9048,669.7,667.74,149.46,147.8,0.8356,0.8307,1.0001,1
4/30/2018,9359.23,9291.05,685.02,669.7,152.62,149.46,0.8644,0.8356,0.9992,1.0001
4/29/2018,9271,9359.23,676.58,685.02,150.87,152.62,0.8579,0.8644,0.999,0.9992
4/28/2018,8822,9271,635,676.58,143.21,150.87,0.7985,0.8579,1,0.999
4/27/2018,9199.01,8822,657.02,635,153.01,143.21,0.8437,0.7985,1.0001,1
4/26/2018,8825,9199.01,613.48,657.02,144.45,153.01,0.79,0.8437,0.999,1.0001
4/25/2018,9555,8825,698.01,613.48,163.3,144.45,0.9141,0.79,0.9937,0.999
4/24/2018,8870.01,9555,640,698.01,151.1,163.3,0.86,0.9141,0.993,0.9937
4/23/2018,8807,8870.01,622.42,640,148.32,151.1,0.8663,0.86,0.9982,0.993
4/22/2018,8850,8807,601.79,622.42,147.52,148.32,0.865,0.8663,0.9965,0.9982
4/21/2018,8693.9,8850,606.92,601.79,153.56,147.52,0.9034,0.865,0.9996,0.9965
4/20/2018,8272,8693.9,566.71,606.92,146.69,153.56,0.78,0.9034,1.001,0.9996
4/19/2018,8117.96,8272,521.01,566.71,139.42,146.69,0.71,0.78,1.0002,1.001
4/18/2018,7989.1,8117.96,508.03,521.01,134.37,139.42,0.6666,0.71,1.001,1.0002
4/17/2018,8099.19,7989.1,515.17,508.03,129.29,134.37,0.6679,0.6666,1.0005,1.001
4/16/2018,8343,8099.19,530,515.17,131.93,129.29,0.6899,0.6679,1.0009,1.0005
4/15/2018,8027.02,8343,501.01,530,126.33,131.93,0.6417,0.6899,1.0004,1.0009
4/14/2018,7939.94,8027.02,495.73,501.01,126.89,126.33,0.6452,0.6417,1.0005,1.0004
4/13/2018,7903.5,7939.94,495,495.73,129.42,126.89,0.64,0.6452,1.0018,1.0005
